rule_id,query_name,industry,objective,category,subcategory,required_groups,forbidden_terms,compiled_regex,regex_flags
11,Accepting Payments 8.5,Telco / DTH,Not Available,Billing,Payments,"[[""payment has been made"", ""statement has been returned"", ""appointment has been made"", ""payment to the bank"", ""payment has been accepted"", ""payment has gone through"", ""payment has processed"", ""payment is processing"", ""appointment has been made"", ""payment of one""]]","[""payment has been made"", ""statement has been returned"", ""appointment has been made"", ""\""payment to the bank"", ""payment has processed"", ""payment is processing"", ""appointment has been made"", ""payment of one""]","^(?!.*payment\s+has\s+been\s+made)(?!.*statement\s+has\s+been\s+returned)(?!.*appointment\s+has\s+been\s+made)(?!.*""payment\s+to\s+the\s+bank)(?!.*payment\s+has\s+processed)(?!.*payment\s+is\s+processing)(?!.*appointment\s+has\s+been\s+made)(?!.*payment\s+of\s+one)(?=.*(?:payment\s+has\s+been\s+made|statement\s+has\s+been\s+returned|appointment\s+has\s+been\s+made|payment\s+to\s+the\s+bank|payment\s+has\s+been\s+accepted|payment\s+has\s+gone\s+through|payment\s+has\s+processed|payment\s+is\s+processing|appointment\s+has\s+been\s+made|payment\s+of\s+one)).*$",IGNORECASE
12,Account Number,Telco / DTH,Not Available,DPA,DPA,"[[""your account number"", ""your phone number"", ""on your account"", ""your account for"", ""new house number"", ""security number"", ""channel numbner"", ""down the number"", ""your account up"", ""reach us number"", ""best number"", ""channel number"", ""ticket number"", ""job number"", ""account number"", ""record number"", ""ticket number"", ""tracking number"", ""channel number"", ""phone number"", ""security number"", ""serial number"", ""credit card number"", ""house number"", ""direct number"", ""best number"", ""pin number"", ""card number"", ""job number""]]",[],^(?=.*(?:your\s+account\s+number|your\s+phone\s+number|on\s+your\s+account|your\s+account\s+for|new\s+house\s+number|security\s+number|channel\s+numbner|down\s+the\s+number|your\s+account\s+up|reach\s+us\s+number|best\s+number|channel\s+number|ticket\s+number|job\s+number|account\s+number|record\s+number|ticket\s+number|tracking\s+number|channel\s+number|phone\s+number|security\s+number|serial\s+number|credit\s+card\s+number|house\s+number|direct\s+number|best\s+number|pin\s+number|card\s+number|job\s+number)).*$,IGNORECASE
13,Account Number 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""your account number"", ""your account"", ""your home"", ""your pin number"", ""serial number"", ""security number"", ""the account number"", ""that number"", ""except the number"", ""the account"", ""second number"", ""account number is"", ""except the number"", ""phone number"", ""call the number"", ""the card number"", ""cell number"", ""customer phone number"", ""account number"", ""phone number"", ""serial number"", ""job number"", ""another number"", ""social security number"", ""digits of the account number"", ""digits of the phone number""]]","[""your account number"", ""your account"", ""your home"", ""your pin number"", ""serial number"", ""\""security number"", ""the account number"", ""that number"", ""except the number"", ""the account"", ""second number"", ""account number is"", ""except the number"", ""\""phone number"", ""call the number"", ""the card number"", ""cell number"", ""customer phone number"", ""account number"", ""phone number"", ""serial number"", ""job number"", ""another number"", ""social security number"", ""digits of the account number"", ""digits of the phone number""]","^(?!.*your\s+account\s+number)(?!.*your\s+account)(?!.*your\s+home)(?!.*your\s+pin\s+number)(?!.*serial\s+number)(?!.*""security\s+number)(?!.*the\s+account\s+number)(?!.*that\s+number)(?!.*except\s+the\s+number)(?!.*the\s+account)(?!.*second\s+number)(?!.*account\s+number\s+is)(?!.*except\s+the\s+number)(?!.*""phone\s+number)(?!.*call\s+the\s+number)(?!.*the\s+card\s+number)(?!.*cell\s+number)(?!.*customer\s+phone\s+number)(?!.*account\s+number)(?!.*phone\s+number)(?!.*serial\s+number)(?!.*job\s+number)(?!.*another\s+number)(?!.*social\s+security\s+number)(?!.*digits\s+of\s+the\s+account\s+number)(?!.*digits\s+of\s+the\s+phone\s+number)(?=.*(?:your\s+account\s+number|your\s+account|your\s+home|your\s+pin\s+number|serial\s+number|security\s+number|the\s+account\s+number|that\s+number|except\s+the\s+number|the\s+account|second\s+number|account\s+number\s+is|except\s+the\s+number|phone\s+number|call\s+the\s+number|the\s+card\s+number|cell\s+number|customer\s+phone\s+number|account\s+number|phone\s+number|serial\s+number|job\s+number|another\s+number|social\s+security\s+number|digits\s+of\s+the\s+account\s+number|digits\s+of\s+the\s+phone\s+number)).*$",IGNORECASE
14,Account Number_First 45,Telco / DTH,Not Available,DPA,DPA,"[[""your account number"", ""the account number"", ""account number is"", ""Account Number""]]",[],^(?=.*(?:your\s+account\s+number|the\s+account\s+number|account\s+number\s+is|Account\s+Number)).*$,IGNORECASE
15,Account Number_First 45 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""your account number"", ""the account number"", ""account number is""], [""False_Account_Number""]]","[""Account_Number"", ""phone number"", ""serial number"", ""job number"", ""\""another number"", ""social security number""]","^(?!.*Account_Number)(?!.*phone\s+number)(?!.*serial\s+number)(?!.*job\s+number)(?!.*""another\s+number)(?!.*social\s+security\s+number)(?=.*(?:your\s+account\s+number|the\s+account\s+number|account\s+number\s+is))(?=.*(?:False_Account_Number)).*$",IGNORECASE
16,Account Number_First_120 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""your account number"", ""the account number"", ""account number is""], [""AccountNumber""]]","[""account number"", ""phone number"", ""serial number"", ""job number"", ""another number"", ""social security number""]",^(?!.*account\s+number)(?!.*phone\s+number)(?!.*serial\s+number)(?!.*job\s+number)(?!.*another\s+number)(?!.*social\s+security\s+number)(?=.*(?:your\s+account\s+number|the\s+account\s+number|account\s+number\s+is))(?=.*(?:AccountNumber)).*$,IGNORECASE
17,Activation Department,Telco / DTH,Not Available,Account related,Activation,"[[""Activation Department"", ""Activations Fee"", ""Cancellation Department"", ""Retention Department"", ""Billing Department"", ""Troubleshooting department"", ""Connection"", ""Collection Department"", ""Technicians department"", ""Troubleshooting department""]]","[""Activation Department"", ""Activations Fee"", ""\""Cancellation Department"", ""Retention Department"", ""Billing Department"", ""Troubleshooting department"", ""\""Connection"", ""Collection Department"", ""Technicians department"", ""Troubleshooting department""]","^(?!.*Activation\s+Department)(?!.*Activations\s+Fee)(?!.*""Cancellation\s+Department)(?!.*Retention\s+Department)(?!.*Billing\s+Department)(?!.*Troubleshooting\s+department)(?!.*""Connection)(?!.*Collection\s+Department)(?!.*Technicians\s+department)(?!.*Troubleshooting\s+department)(?=.*(?:Activation\s+Department|Activations\s+Fee|Cancellation\s+Department|Retention\s+Department|Billing\s+Department|Troubleshooting\s+department|Connection|Collection\s+Department|Technicians\s+department|Troubleshooting\s+department)).*$",IGNORECASE
18,Activation Department 8.5,Telco / DTH,Not Available,Account related,Activation,"[[""Activation Department"", ""Activations Fee"", ""Cancellation Department"", ""Retention Department"", ""Billing Department"", ""Connection"", ""Collection Department""]]","[""Activation Department"", ""Activations Fee"", ""\""Cancellation Department"", ""Retention Department"", ""Billing Department"", ""\""Connection"", ""Collection Department""]","^(?!.*Activation\s+Department)(?!.*Activations\s+Fee)(?!.*""Cancellation\s+Department)(?!.*Retention\s+Department)(?!.*Billing\s+Department)(?!.*""Connection)(?!.*Collection\s+Department)(?=.*(?:Activation\s+Department|Activations\s+Fee|Cancellation\s+Department|Retention\s+Department|Billing\s+Department|Connection|Collection\s+Department)).*$",IGNORECASE
19,Actual Bill Pay,Telco / DTH,Not Available,Billing,Payments,"[[""Pay"", ""Card""]]","[""Visa or Master card"", ""very much for"", ""so that"", ""for calling""]",^(?!.*Visa\s+or\s+Master\s+card)(?!.*very\s+much\s+for)(?!.*so\s+that)(?!.*for\s+calling)(?=.*(?:Pay|Card)).*$,IGNORECASE
20,Actual Bill Pay 8.5,Telco / DTH,Not Available,Billing,Payments,"[[""visa or master card"", ""Master card""], [""Routing number"", ""have the routing number""], [""BillPay"", ""Pay"", ""Card"", ""Routing""]]","[""ready for the card number"", ""ready for the routing number"", ""\""your account number"", ""expiration date"", ""explanation""]","^(?!.*ready\s+for\s+the\s+card\s+number)(?!.*ready\s+for\s+the\s+routing\s+number)(?!.*""your\s+account\s+number)(?!.*expiration\s+date)(?!.*explanation)(?=.*(?:visa\s+or\s+master\s+card|Master\s+card))(?=.*(?:Routing\s+number|have\s+the\s+routing\s+number))(?=.*(?:BillPay|Pay|Card|Routing)).*$",IGNORECASE
21,Address Change,Telco / DTH,Not Available,Account related,Address Change,"[[""Change billing address"", ""change of address"", ""change the address"", ""\""change my address"", ""the new address is"", ""change that address""]]",[],"^(?=.*(?:Change\s+billing\s+address|change\s+of\s+address|change\s+the\s+address|""change\s+my\s+address|the\s+new\s+address\s+is|change\s+that\s+address)).*$",IGNORECASE
22,Address Change 8.5,Telco / DTH,Not Available,Account related,Address Change,"[[""change billing address""]]","[""change of address"", ""change on the package"", ""for changing"", ""\""change your level"", ""change your package"", ""change on the service"", ""change the address"", ""change with the different"", ""change the service"", ""change my address"", ""give you my address"", ""change the level"", ""change of"", ""the new address is"", ""the new browser"", ""your address"", ""change that address"", ""change that""]","^(?!.*change\s+of\s+address)(?!.*change\s+on\s+the\s+package)(?!.*for\s+changing)(?!.*""change\s+your\s+level)(?!.*change\s+your\s+package)(?!.*change\s+on\s+the\s+service)(?!.*change\s+the\s+address)(?!.*change\s+with\s+the\s+different)(?!.*change\s+the\s+service)(?!.*change\s+my\s+address)(?!.*give\s+you\s+my\s+address)(?!.*change\s+the\s+level)(?!.*change\s+of)(?!.*the\s+new\s+address\s+is)(?!.*the\s+new\s+browser)(?!.*your\s+address)(?!.*change\s+that\s+address)(?!.*change\s+that)(?=.*(?:change\s+billing\s+address)).*$",IGNORECASE
23,Address Verification,Telco / DTH,Not Available,DPA,DPA,"[[""Verify the address"", ""verify the last four digit"", ""that address"", ""verify the social"", ""verify the phone number"", ""verify the name"", ""vefiry that"", ""verify that info"", ""verify and"", ""first address"", ""your address"", ""for your"", ""on your"", ""you intersted"", ""address on the account"", ""on that account"", ""pull up your accouint"", ""that's on the account"", ""name and address"", ""address in the service"", ""interrupted the services"", ""service technician"", ""change of services"", ""have the address"", ""have your address"", ""your digital"", ""the current address"", ""address for the services"", ""restore the service"", ""phone service"", ""transfer service"", ""restart your service""]]","[""Verify the address"", ""verify the last four digit"", ""that address"", ""verify the social"", ""\""verify the phone number"", ""verify the name"", ""vefiry that"", ""verify that info"", ""first address"", ""your address"", ""for your"", ""on your"", ""you intersted"", ""address on the account"", ""on that account"", ""pull up your accouint"", ""that's on the account"", ""address in the service"", ""interrupted the services"", ""service technician"", ""change of services"", ""have your address"", ""your digital"", ""address for the services"", ""restore the service"", ""phone service"", ""transfer service"", ""restart your service""]","^(?!.*Verify\s+the\s+address)(?!.*verify\s+the\s+last\s+four\s+digit)(?!.*that\s+address)(?!.*verify\s+the\s+social)(?!.*""verify\s+the\s+phone\s+number)(?!.*verify\s+the\s+name)(?!.*vefiry\s+that)(?!.*verify\s+that\s+info)(?!.*first\s+address)(?!.*your\s+address)(?!.*for\s+your)(?!.*on\s+your)(?!.*you\s+intersted)(?!.*address\s+on\s+the\s+account)(?!.*on\s+that\s+account)(?!.*pull\s+up\s+your\s+accouint)(?!.*that's\s+on\s+the\s+account)(?!.*address\s+in\s+the\s+service)(?!.*interrupted\s+the\s+services)(?!.*service\s+technician)(?!.*change\s+of\s+services)(?!.*have\s+your\s+address)(?!.*your\s+digital)(?!.*address\s+for\s+the\s+services)(?!.*restore\s+the\s+service)(?!.*phone\s+service)(?!.*transfer\s+service)(?!.*restart\s+your\s+service)(?=.*(?:Verify\s+the\s+address|verify\s+the\s+last\s+four\s+digit|that\s+address|verify\s+the\s+social|verify\s+the\s+phone\s+number|verify\s+the\s+name|vefiry\s+that|verify\s+that\s+info|verify\s+and|first\s+address|your\s+address|for\s+your|on\s+your|you\s+intersted|address\s+on\s+the\s+account|on\s+that\s+account|pull\s+up\s+your\s+accouint|that's\s+on\s+the\s+account|name\s+and\s+address|address\s+in\s+the\s+service|interrupted\s+the\s+services|service\s+technician|change\s+of\s+services|have\s+the\s+address|have\s+your\s+address|your\s+digital|the\s+current\s+address|address\s+for\s+the\s+services|restore\s+the\s+service|phone\s+service|transfer\s+service|restart\s+your\s+service)).*$",IGNORECASE
24,Address Verification 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""confirm address"", ""confirm me"", ""concern that"", ""different address"", ""confirm"", ""can i address"", ""confirm your disconnection"", ""confirm that"", ""Verify address"", ""verify the"", ""confirm the address"", ""confirm that"", ""confirm the"", ""concern that"", ""service interruption"", ""confirm your disconnection"", ""verify the address"", ""verify the"", ""verify that"", ""confirm that"", ""have your address"", ""be your adjusted balance"", ""haven't seen"", ""if you interest"", ""what's your address"", ""and your address"", ""can i have your address"", ""can i have your"", ""address on the account"", ""verify the account"", ""customer's account"", ""name and address on the account"", ""verify the name and address"", ""may i have the address please"", ""have a good day""]]","[""confirm address"", ""confirm me"", ""concern that"", ""different address"", ""confirm"", ""can i address"", ""\""confirm your disconnection"", ""confirm that"", ""Verify address"", ""verify the"", ""confirm the address"", ""confirm that"", ""confirm the"", ""concern that"", ""service interruption"", ""\""confirm your disconnection"", ""verify the address"", ""verify the"", ""verify that"", ""confirm that"", ""have your address"", ""be your adjusted balance"", ""haven't seen"", ""if you interest"", ""can i have your address"", ""can i have your"", ""address on the account"", ""verify the account"", ""customer's account"", ""may i have the address please"", ""have a good day""]","^(?!.*confirm\s+address)(?!.*confirm\s+me)(?!.*concern\s+that)(?!.*different\s+address)(?!.*confirm)(?!.*can\s+i\s+address)(?!.*""confirm\s+your\s+disconnection)(?!.*confirm\s+that)(?!.*Verify\s+address)(?!.*verify\s+the)(?!.*confirm\s+the\s+address)(?!.*confirm\s+that)(?!.*confirm\s+the)(?!.*concern\s+that)(?!.*service\s+interruption)(?!.*""confirm\s+your\s+disconnection)(?!.*verify\s+the\s+address)(?!.*verify\s+the)(?!.*verify\s+that)(?!.*confirm\s+that)(?!.*have\s+your\s+address)(?!.*be\s+your\s+adjusted\s+balance)(?!.*haven't\s+seen)(?!.*if\s+you\s+interest)(?!.*can\s+i\s+have\s+your\s+address)(?!.*can\s+i\s+have\s+your)(?!.*address\s+on\s+the\s+account)(?!.*verify\s+the\s+account)(?!.*customer's\s+account)(?!.*may\s+i\s+have\s+the\s+address\s+please)(?!.*have\s+a\s+good\s+day)(?=.*(?:confirm\s+address|confirm\s+me|concern\s+that|different\s+address|confirm|can\s+i\s+address|confirm\s+your\s+disconnection|confirm\s+that|Verify\s+address|verify\s+the|confirm\s+the\s+address|confirm\s+that|confirm\s+the|concern\s+that|service\s+interruption|confirm\s+your\s+disconnection|verify\s+the\s+address|verify\s+the|verify\s+that|confirm\s+that|have\s+your\s+address|be\s+your\s+adjusted\s+balance|haven't\s+seen|if\s+you\s+interest|what's\s+your\s+address|and\s+your\s+address|can\s+i\s+have\s+your\s+address|can\s+i\s+have\s+your|address\s+on\s+the\s+account|verify\s+the\s+account|customer's\s+account|name\s+and\s+address\s+on\s+the\s+account|verify\s+the\s+name\s+and\s+address|may\s+i\s+have\s+the\s+address\s+please|have\s+a\s+good\s+day)).*$",IGNORECASE
25,Address Verification_First 120,Telco / DTH,Not Available,DPA,DPA,"[[""the current address"", ""what's your address"", ""\""Address for me"", ""What is your address""], [""Verify address"", ""verify the address""], [""AddressVerification""]]","[""have your address"", ""have your job"", ""one account per address"", ""help you with that"", ""\""have your account number"", ""have your social i d"", ""can i have the address"", ""currently have with us"", ""have that number"", ""your address please"", ""my new address"", ""your account please"", ""replace"", ""address on the account"", ""name on the account"", ""account number"", ""calling comcast"", ""\""phone number on the account"", ""address for the service"", ""restore the service"", ""phone service"", ""transfer service"", ""restart your service""]","^(?!.*have\s+your\s+address)(?!.*have\s+your\s+job)(?!.*one\s+account\s+per\s+address)(?!.*help\s+you\s+with\s+that)(?!.*""have\s+your\s+account\s+number)(?!.*have\s+your\s+social\s+i\s+d)(?!.*can\s+i\s+have\s+the\s+address)(?!.*currently\s+have\s+with\s+us)(?!.*have\s+that\s+number)(?!.*your\s+address\s+please)(?!.*my\s+new\s+address)(?!.*your\s+account\s+please)(?!.*replace)(?!.*address\s+on\s+the\s+account)(?!.*name\s+on\s+the\s+account)(?!.*account\s+number)(?!.*calling\s+comcast)(?!.*""phone\s+number\s+on\s+the\s+account)(?!.*address\s+for\s+the\s+service)(?!.*restore\s+the\s+service)(?!.*phone\s+service)(?!.*transfer\s+service)(?!.*restart\s+your\s+service)(?=.*(?:the\s+current\s+address|what's\s+your\s+address|""Address\s+for\s+me|What\s+is\s+your\s+address))(?=.*(?:Verify\s+address|verify\s+the\s+address))(?=.*(?:AddressVerification)).*$",IGNORECASE
26,Address Verification_First_120 8.5,Telco / DTH,Not Available,DPA,DPA,"[[""confirm address"", ""Verify address"", ""confirm the address"", ""verify the address"", ""\""have your address"", ""what's your address"", ""can i have your address""], [""AddressVerification""]]","[""address on the account"", ""phone number on the account""]","^(?!.*address\s+on\s+the\s+account)(?!.*phone\s+number\s+on\s+the\s+account)(?=.*(?:confirm\s+address|Verify\s+address|confirm\s+the\s+address|verify\s+the\s+address|""have\s+your\s+address|what's\s+your\s+address|can\s+i\s+have\s+your\s+address))(?=.*(?:AddressVerification)).*$",IGNORECASE
27,Advertising,Telco / DTH,Not Available,Media & Communication,Advertising,"[[""advertisement"", ""advertising""]]",[],^(?=.*(?:advertisement|advertising)).*$,IGNORECASE
28,Advertising 8.5,Telco / DTH,Not Available,Media & Communication,Advertising,"[[""advertisement""]]","[""advertising"", ""pricing""]",^(?!.*advertising)(?!.*pricing)(?=.*(?:advertisement)).*$,IGNORECASE
29,Agent - Customer Call Back,Telco / DTH,Not Available,Call Outcome,Call Back,"[[""will give you a call back"", ""giving you a call back"", ""Will be calling you back"", ""\""I will give you a call"", ""technician will give you a call""]]","[""AgentCustomerCallBack"", ""give us a callback"", ""call us back""]","^(?!.*AgentCustomerCallBack)(?!.*give\s+us\s+a\s+callback)(?!.*call\s+us\s+back)(?=.*(?:will\s+give\s+you\s+a\s+call\s+back|giving\s+you\s+a\s+call\s+back|Will\s+be\s+calling\s+you\s+back|""I\s+will\s+give\s+you\s+a\s+call|technician\s+will\s+give\s+you\s+a\s+call)).*$",IGNORECASE
30,Agent - Customer Call Back 8.5,Telco / DTH,Not Available,Call Outcome,Call Back,"[[""for porting press one"", ""for native press two"", ""\""you have selected agreement witn no c d d"", ""for an agreeent with no c d d""]]",[],"^(?=.*(?:for\s+porting\s+press\s+one|for\s+native\s+press\s+two|""you\s+have\s+selected\s+agreement\s+witn\s+no\s+c\s+d\s+d|for\s+an\s+agreeent\s+with\s+no\s+c\s+d\s+d)).*$",IGNORECASE
31,Agent Acceptance 8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""for porting press one"", ""for native press two"", ""\""you have selected agreement witn no c d d"", ""for an agreeent with no c d d""]]",[],"^(?=.*(?:for\s+porting\s+press\s+one|for\s+native\s+press\s+two|""you\s+have\s+selected\s+agreement\s+witn\s+no\s+c\s+d\s+d|for\s+an\s+agreeent\s+with\s+no\s+c\s+d\s+d)).*$",IGNORECASE
32,Agent Acceptance Call Driver,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""for porting press one _PAU for native press two"", ""\""for pro-install press one _pau for f a k press two"", ""for agreement press one _pau for no agreement press two"", ""\""you have selected agreement witn no c d d""]]",[],"^(?=.*(?:for\s+porting\s+press\s+one\s+_PAU\s+for\s+native\s+press\s+two|""for\s+pro\-install\s+press\s+one\s+_pau\s+for\s+f\s+a\s+k\s+press\s+two|for\s+agreement\s+press\s+one\s+_pau\s+for\s+no\s+agreement\s+press\s+two|""you\s+have\s+selected\s+agreement\s+witn\s+no\s+c\s+d\s+d)).*$",IGNORECASE
33,Agent Acceptance Call Driver 8.5,Telco / DTH,Not Available,Process Specific,Process Specific,"[[""for porting press one _PAU for native press two"", ""\""for pro-install press one _pau for f a k press two"", ""for agreement press one _pau for no agreement press two"", ""\""you have selected agreement witn no c d d""]]",[],"^(?=.*(?:for\s+porting\s+press\s+one\s+_PAU\s+for\s+native\s+press\s+two|""for\s+pro\-install\s+press\s+one\s+_pau\s+for\s+f\s+a\s+k\s+press\s+two|for\s+agreement\s+press\s+one\s+_pau\s+for\s+no\s+agreement\s+press\s+two|""you\s+have\s+selected\s+agreement\s+witn\s+no\s+c\s+d\s+d)).*$",IGNORECASE
34,Agent System Review,Telco / DTH,Not Available,Account related,Check customer details,"[[""checking to see"", ""let me check that for you"", ""just a moment"", ""\""let me take a look""]]",[],"^(?=.*(?:checking\s+to\s+see|let\s+me\s+check\s+that\s+for\s+you|just\s+a\s+moment|""let\s+me\s+take\s+a\s+look)).*$",IGNORECASE
